Team A,Team B,Map,Team A Wins,Played,Team A Winrate
Nongshim RedForce,TALON,Bind,0,1,0.0
Nongshim RedForce,Rex Regum Qeon,Bind,1,1,100.0
Nova Esports,Wolves Esports,Bind,1,1,100.0
Nova Esports,Xi Lai Gaming,Bind,0,1,0.0
OpTic Gaming,Team Liquid,Bind,1,1,100.0
OpTic Gaming,XSET,Bind,1,1,100.0
OpTic Gaming,Paper Rex,Bind,1,1,100.0
OpTic Gaming,ZETA DIVISION,Bind,1,1,100.0
Paper Rex,Xi Lai Gaming,Bind,1,1,100.0
Paper Rex,Team Heretics,Bind,0,1,0.0
Paper Rex,TALON,Bind,2,2,100.0
Paper Rex,T1,Bind,1,3,33.33
Paper Rex,Rex Regum Qeon,Bind,1,2,50.0
Rex Regum Qeon,T1,Bind,0,2,0.0
Rex Regum Qeon,TALON,Bind,0,1,0.0
Rex Regum Qeon,VARREL,Bind,1,1,100.0
Sentinels,Team Liquid,Bind,1,2,50.0
T1,Team Vitality,Bind,0,1,0.0
T1,TALON,Bind,0,1,0.0
TALON,ZETA DIVISION,Bind,1,1,100.0
TYLOO,Trace Esports,Bind,1,1,100.0
Team Heretics,Team Liquid,Bind,0,2,0.0
Team Heretics,ULF Esports,Bind,1,1,100.0
Team Liquid,Team Vitality,Bind,1,2,50.0
Team Secret,ZETA DIVISION,Bind,1,1,100.0
Team Vitality,Trace Esports,Bind,0,1,0.0
Titan Esports Club,Wolves Esports,Bind,0,1,0.0
Trace Esports,Wolves Esports,Bind,2,3,66.67
Trace Esports,Xi Lai Gaming,Bind,0,1,0.0
VARREL,ZETA DIVISION,Bind,1,1,100.0
Wolves Esports,Xi Lai Gaming,Bind,0,1,0.0
100 Thieves,Acend,Breeze,1,1,100.0
100 Thieves,DRX,Breeze,0,1,0.0
100 Thieves,Evil Geniuses,Breeze,1,1,100.0
100 Thieves,NRG,Breeze,1,3,33.33
100 Thieves,FURIA,Breeze,1,1,100.0
100 Thieves,LOUD,Breeze,1,2,50.0
100 Thieves,MIBR,Breeze,1,2,50.0
100 Thieves,G2 Esports,Breeze,1,1,100.0
100 Thieves,Rex Regum Qeon,Breeze,1,1,100.0
100 Thieves,Sentinels,Breeze,1,1,100.0
100 Thieves,Cloud9,Breeze,0,1,0.0
Acend,Keyd Stars,Breeze,1,1,100.0
Acend,Team Secret,Breeze,1,1,100.0
Acend,Gambit Esports,Breeze,0,1,0.0
All Gamers,Titan Esports Club,Breeze,1,1,100.0
All Gamers,TYLOO,Breeze,0,1,0.0
BBL Esports,PCIFIC Esports,Breeze,2,2,100.0
BBL Esports,Team Vitality,Breeze,1,1,100.0
BBL Esports,Team Heretics,Breeze,0,2,0.0
BBL Esports,FURIA,Breeze,0,1,0.0
BBL Esports,G2 Esports,Breeze,0,1,0.0
BBL Esports,FNATIC,Breeze,1,1,100.0
BBL Esports,EDward Gaming,Breeze,1,1,100.0
BBL Esports,NRG,Breeze,0,1,0.0
BBL Esports,Nongshim RedForce,Breeze,0,1,0.0
BESTIA,KRÜ Esports,Breeze,1,1,100.0
BESTIA,Cloud9,Breeze,1,1,100.0
BESTIA,G2 Esports,Breeze,0,1,0.0
BOOM Esports,OpTic Gaming,Breeze,1,1,100.0
Bilibili Gaming,TYLOO,Breeze,0,1,0.0
Bilibili Gaming,Titan Esports Club,Breeze,0,1,0.0
Bilibili Gaming,Trace Esports,Breeze,1,1,100.0
Bilibili Gaming,EDward Gaming,Breeze,1,1,100.0
Bilibili Gaming,Xi Lai Gaming,Breeze,1,1,100.0
Bilibili Gaming,Nova Esports,Breeze,0,1,0.0
Cat Gang,Lavie,Breeze,0,1,0.0
Cat Gang,Dominus Esports,Breeze,1,1,100.0
Cat Gang,Kantic 2.0,Breeze,0,1,0.0
Cloud9,FULL SENSE,Breeze,1,1,100.0
Cloud9,Vision Strikers,Breeze,1,1,100.0
Cloud9,MIBR,Breeze,1,1,100.0
Cloud9,LOUD,Breeze,0,1,0.0
Cloud9,NRG,Breeze,0,1,0.0
Cloud9,ENVY,Breeze,0,1,0.0
Cloud9,LEVIATÁN,Breeze,1,1,100.0
Cloud9,G2 Esports,Breeze,0,1,0.0
Cloud9,KRÜ Esports,Breeze,1,1,100.0
Cloud9,Fluxo W7M,Breeze,1,1,100.0
Cloud9,Evil Geniuses,Breeze,1,1,100.0
DRX,FunPlus Phoenix,Breeze,2,2,100.0
DRX,LOUD,Breeze,0,1,0.0
DRX,OpTic Gaming,Breeze,0,2,0.0
DRX,LEVIATÁN,Breeze,1,1,100.0
DRX,Ninjas In Pyjamas,Breeze,1,1,100.0
DetonatioN FocusMe,Rex Regum Qeon,Breeze,0,1,0.0
DetonatioN FocusMe,Global Esports,Breeze,0,1,0.0
DetonatioN FocusMe,Team Secret,Breeze,1,1,100.0
DetonatioN FocusMe,Sharper Esports,Breeze,0,1,0.0
DetonatioN FocusMe,QT DIG∞,Breeze,1,1,100.0
Dragon Ranger Gaming,Nova Esports,Breeze,1,1,100.0
Dragon Ranger Gaming,Wolves Esports,Breeze,1,1,100.0
Dragon Ranger Gaming,EDward Gaming,Breeze,0,2,0.0
Dragon Ranger Gaming,Trace Esports,Breeze,1,1,100.0
Dragon Ranger Gaming,TYLOO,Breeze,0,1,0.0
Dragon Ranger Gaming,Xi Lai Gaming,Breeze,0,1,0.0
Dragon Ranger Gaming,JDG Esports,Breeze,1,2,50.0
Dragon Ranger Gaming,Titan Esports Club,Breeze,1,1,100.0
EDward Gaming,Team Liquid,Breeze,0,1,0.0
EDward Gaming,Nova Esports,Breeze,1,1,100.0
EDward Gaming,Xi Lai Gaming,Breeze,2,2,100.0
EDward Gaming,TYLOO,Breeze,1,1,100.0
EDward Gaming,Trace Esports,Breeze,1,1,100.0
EDward Gaming,JDG Esports,Breeze,1,1,100.0
EDward Gaming,Rex Regum Qeon,Breeze,1,1,100.0
EDward Gaming,FunPlus Phoenix,Breeze,0,1,0.0
EDward Gaming,JD Gaming,Breeze,0,1,0.0
ENVY,X10 Esports,Breeze,1,1,100.0
ENVY,LOUD,Breeze,0,1,0.0
ENVY,KRÜ Esports,Breeze,1,1,100.0
ENVY,Evil Geniuses,Breeze,0,1,0.0
ENVY,NRG,Breeze,0,1,0.0
Eternal Fire,FNATIC,Breeze,0,1,0.0
Eternal Fire,GIANTX,Breeze,1,1,100.0
Evil Geniuses,FURIA,Breeze,1,2,50.0
Evil Geniuses,NRG,Breeze,0,1,0.0
F4Q,Sentinels,Breeze,0,2,0.0
FNATIC,FURIA,Breeze,1,1,100.0
FNATIC,Team Vitality,Breeze,1,2,50.0
FNATIC,GIANTX,Breeze,1,1,100.0
FNATIC,Natus Vincere,Breeze,0,1,0.0
FNATIC,Joblife,Breeze,0,1,0.0
FULL SENSE,Vision Strikers,Breeze,0,1,0.0
FULL SENSE,T1,Breeze,0,2,0.0
FULL SENSE,Global Esports,Breeze,1,1,100.0
FULL SENSE,Kiwoom DRX,Breeze,0,1,0.0
FURIA,Sentinels,Breeze,2,3,66.67
FURIA,LEVIATÁN,Breeze,1,1,100.0
FURIA,Paper Rex,Breeze,0,1,0.0
FURIA,KRÜ Esports,Breeze,1,1,100.0
FURIA,MIBR,Breeze,0,2,0.0
FURIA,NRG,Breeze,0,1,0.0
FURIA,G2 Esports,Breeze,1,1,100.0
FUT Esports,Team Liquid,Breeze,1,1,100.0
FUT Esports,Team Heretics,Breeze,0,1,0.0
FunPlus Phoenix,XSET,Breeze,0,1,0.0
FunPlus Phoenix,Guild Esports,Breeze,0,1,0.0
FunPlus Phoenix,Paper Rex,Breeze,1,1,100.0
FunPlus Phoenix,JDG Esports,Breeze,1,1,100.0
FunPlus Phoenix,KeepBest Gaming,Breeze,1,1,100.0
G2 Esports,Gambit Esports,Breeze,0,1,0.0
G2 Esports,LOUD,Breeze,0,1,0.0
G2 Esports,LEVIATÁN,Breeze,1,1,100.0
G2 Esports,KRÜ Esports,Breeze,2,2,100.0
G2 Esports,NRG,Breeze,0,1,0.0
G2 Esports,T1,Breeze,1,1,100.0
G2 Esports,Paper Rex,Breeze,0,1,0.0
G2 Esports,MIBR,Breeze,1,1,100.0
G2 Esports,Nongshim RedForce,Breeze,0,1,0.0
G2 Esports,Xi Lai Gaming,Breeze,1,1,100.0
G2 Esports,Sentinels,Breeze,0,1,0.0
G2 Esports,M80,Breeze,1,1,100.0
GIANTX,Team Vitality,Breeze,0,1,0.0
GIANTX,Team Liquid,Breeze,0,2,0.0
Gambit Esports,Team Secret,Breeze,1,1,100.0
Gambit Esports,X10 Esports,Breeze,1,1,100.0
Gambit Esports,KRÜ Esports,Breeze,1,1,100.0
Gen.G,Nongshim RedForce,Breeze,0,1,0.0
Gen.G,Team Secret,Breeze,0,1,0.0
Gen.G,T1,Breeze,1,1,100.0
Gen.G,VARREL,Breeze,1,1,100.0
Gen.G,Global Esports,Breeze,1,2,50.0
Gentle Mates,Xi Lai Gaming,Breeze,0,1,0.0
Global Esports,Nongshim RedForce,Breeze,1,2,50.0
Global Esports,Rex Regum Qeon,Breeze,1,1,100.0
Global Esports,Paper Rex,Breeze,2,3,66.67
Global Esports,ZETA DIVISION,Breeze,1,1,100.0
JD Gaming,TYLOO,Breeze,1,1,100.0
JDG Esports,Nova Esports,Breeze,0,1,0.0
Joblife,Natus Vincere,Breeze,1,1,100.0
KRÜ Esports,Sentinels,Breeze,2,2,100.0
KRÜ Esports,NRG,Breeze,0,1,0.0
KRÜ Esports,LOUD,Breeze,0,1,0.0
KRÜ Esports,MIBR,Breeze,0,1,0.0
Karmine Corp,Natus Vincere,Breeze,0,1,0.0
Karmine Corp,Team Liquid,Breeze,0,1,0.0
Karmine Corp,NRG,Breeze,0,1,0.0
Keyd Stars,ZETA DIVISION,Breeze,1,1,100.0
Kiwoom DRX,Paper Rex,Breeze,1,4,25.0
Kiwoom DRX,T1,Breeze,0,1,0.0
LEVIATÁN,MIBR,Breeze,0,1,0.0
LEVIATÁN,LOUD,Breeze,0,1,0.0
LOUD,OpTic Gaming,Breeze,2,3,66.67
LOUD,Sentinels,Breeze,0,1,0.0
Lavie,Penguins and Frogs,Breeze,0,1,0.0
MIBR,NRG,Breeze,1,2,50.0
Made In Vietnam,Team Deadshot,Breeze,0,1,0.0
NRG,Sentinels,Breeze,0,1,0.0
NRG,Team Liquid,Breeze,1,1,100.0
NRG,Paper Rex,Breeze,1,2,50.0
NRG,Team Vitality,Breeze,0,1,0.0
Natus Vincere,Team Heretics,Breeze,0,1,0.0
Natus Vincere,Team Vitality,Breeze,0,1,0.0
Nongshim RedForce,Team Secret,Breeze,2,2,100.0
Nongshim RedForce,Rex Regum Qeon,Breeze,1,2,50.0
Nongshim RedForce,Team Vitality,Breeze,1,1,100.0
Nongshim RedForce,ZETA DIVISION,Breeze,1,1,100.0
Nova Esports,Trace Esports,Breeze,1,1,100.0
Nova Esports,Xi Lai Gaming,Breeze,1,1,100.0
ONSIDE GAMING,Sharper Esports,Breeze,1,1,100.0
OpTic Gaming,Team Liquid,Breeze,0,1,0.0
Papara SuperMassive,Paper Rex,Breeze,1,1,100.0
Paper Rex,Team Secret,Breeze,1,1,100.0
Paper Rex,T1,Breeze,1,3,33.33
Paper Rex,Rex Regum Qeon,Breeze,1,1,100.0
Rex Regum Qeon,T1,Breeze,0,2,0.0
Rex Regum Qeon,ZETA DIVISION,Breeze,0,1,0.0
Rex Regum Qeon,Sharper Esports,Breeze,0,1,0.0
Sentinels,Team Liquid,Breeze,0,1,0.0
T1,Team Liquid,Breeze,0,1,0.0
TYLOO,Titan Esports Club,Breeze,1,1,100.0
TYLOO,Trace Esports,Breeze,1,1,100.0
TYLOO,Xi Lai Gaming,Breeze,0,1,0.0
Team Deadshot,VICTORY,Breeze,1,1,100.0
Team Heretics,Team Vitality,Breeze,0,1,0.0
Team Heretics,Team Liquid,Breeze,0,1,0.0
Team Liquid,Team Vitality,Breeze,1,2,50.0
Team Liquid,ULF Esports,Breeze,1,1,100.0
Team Vitality,ULF Esports,Breeze,1,1,100.0
Titan Esports Club,Trace Esports,Breeze,0,2,0.0
Titan Esports Club,Xi Lai Gaming,Breeze,1,2,50.0
Titan Esports Club,Wolves Esports,Breeze,1,1,100.0
Trace Esports,Xi Lai Gaming,Breeze,1,1,100.0
VARREL,ZETA DIVISION,Breeze,0,1,0.0
Wolves Esports,Xi Lai Gaming,Breeze,0,1,0.0
100 Thieves,KRÜ Esports,Corrode,1,1,100.0
100 Thieves,Evil Geniuses,Corrode,1,1,100.0
100 Thieves,G2 Esports,Corrode,1,1,100.0
100 Thieves,Sentinels,Corrode,1,1,100.0
100 Thieves,NRG,Corrode,0,1,0.0
2Game Esports,FURIA,Corrode,0,1,0.0
All Gamers,Wolves Esports,Corrode,1,1,100.0
All Gamers,Dragon Ranger Gaming,Corrode,0,2,0.0
All Gamers,Nova Esports,Corrode,1,1,100.0
All Gamers,Paper Rex,Corrode,1,1,100.0
Apeks,Natus Vincere,Corrode,0,1,0.0
Apeks,Team Liquid,Corrode,1,1,100.0
BBL Esports,GIANTX,Corrode,0,1,0.0
BBL Esports,FNATIC,Corrode,0,1,0.0
BBL Esports,Gentle Mates,Corrode,1,1,100.0
BOOM Esports,T1,Corrode,0,1,0.0
BOOM Esports,DetonatioN FocusMe,Corrode,0,1,0.0
BOOM Esports,ZETA DIVISION,Corrode,0,1,0.0
Bilibili Gaming,MIBR,Corrode,0,1,0.0
Bilibili Gaming,Dragon Ranger Gaming,Corrode,1,1,100.0
Cloud9,LEVIATÁN,Corrode,1,1,100.0
Cloud9,Sentinels,Corrode,0,1,0.0
Cloud9,NRG,Corrode,0,1,0.0
Cloud9,G2 Esports,Corrode,0,1,0.0
DRX,NRG,Corrode,0,1,0.0
DRX,Team Liquid,Corrode,1,1,100.0
DRX,FNATIC,Corrode,0,1,0.0
DRX,Gen.G,Corrode,0,1,0.0
DRX,Team Secret,Corrode,1,1,100.0
DRX,Rex Regum Qeon,Corrode,0,1,0.0
DetonatioN FocusMe,TALON,Corrode,0,1,0.0
DetonatioN FocusMe,Rex Regum Qeon,Corrode,0,1,0.0
Dragon Ranger Gaming,EDward Gaming,Corrode,1,2,50.0
Dragon Ranger Gaming,JDG Esports,Corrode,1,1,100.0
Dragon Ranger Gaming,TYLOO,Corrode,0,1,0.0
EDward Gaming,NRG,Corrode,0,1,0.0
EDward Gaming,Titan Esports Club,Corrode,1,1,100.0
EDward Gaming,TYLOO,Corrode,2,2,100.0
EDward Gaming,JDG Esports,Corrode,2,2,100.0
EDward Gaming,Xi Lai Gaming,Corrode,1,1,100.0
ENVY,Evil Geniuses,Corrode,1,2,50.0
ENVY,MIBR,Corrode,0,1,0.0
Evil Geniuses,G2 Esports,Corrode,1,1,100.0
Evil Geniuses,Sentinels,Corrode,0,1,0.0
Evil Geniuses,FURIA,Corrode,1,1,100.0
FNATIC,NRG,Corrode,0,1,0.0
FNATIC,Karmine Corp,Corrode,1,1,100.0
FNATIC,FUT Esports,Corrode,0,1,0.0
FNATIC,Team Liquid,Corrode,1,2,50.0
FNATIC,Gentle Mates,Corrode,1,1,100.0
FULL SENSE,ZETA DIVISION,Corrode,1,1,100.0
FULL SENSE,Kiwoom DRX,Corrode,0,1,0.0
FURIA,G2 Esports,Corrode,0,1,0.0
FunPlus Phoenix,Wolves Esports,Corrode,1,1,100.0
G2 Esports,Team Heretics,Corrode,0,1,0.0
G2 Esports,T1,Corrode,1,1,100.0
G2 Esports,Paper Rex,Corrode,1,3,33.33
G2 Esports,Sentinels,Corrode,0,1,0.0
G2 Esports,NRG,Corrode,0,1,0.0
G2 Esports,Nongshim RedForce,Corrode,0,1,0.0
G2 Esports,MIBR,Corrode,1,1,100.0
GIANTX,Sentinels,Corrode,0,1,0.0
GIANTX,Gentle Mates,Corrode,0,1,0.0
GIANTX,Team Liquid,Corrode,1,1,100.0
Gen.G,Global Esports,Corrode,1,1,100.0
Gen.G,Rex Regum Qeon,Corrode,0,1,0.0
Gentle Mates,Team Heretics,Corrode,0,1,0.0
Gentle Mates,Team Vitality,Corrode,0,1,0.0
Gentle Mates,Nongshim RedForce,Corrode,0,1,0.0
Global Esports,Rex Regum Qeon,Corrode,1,1,100.0
Global Esports,Team Secret,Corrode,1,1,100.0
Global Esports,Nongshim RedForce,Corrode,0,1,0.0
Global Esports,Paper Rex,Corrode,0,1,0.0
Glory Once Again,Team World,Corrode,0,1,0.0
JDG Esports,TYLOO,Corrode,0,1,0.0
JDG Esports,Titan Esports Club,Corrode,1,1,100.0
JDG Esports,Trace Esports,Corrode,0,1,0.0
KOI,Natus Vincere,Corrode,1,1,100.0
KRÜ Esports,MIBR,Corrode,0,1,0.0
Karmine Corp,Natus Vincere,Corrode,0,1,0.0
Karmine Corp,Team Heretics,Corrode,0,1,0.0
Kiwoom DRX,VARREL,Corrode,0,1,0.0
Kiwoom DRX,Paper Rex,Corrode,1,1,100.0
LEVIATÁN,Sentinels,Corrode,1,1,100.0
LOUD,NRG,Corrode,0,1,0.0
MIBR,Rex Regum Qeon,Corrode,1,1,100.0
MIBR,Team Heretics,Corrode,1,1,100.0
MIBR,NRG,Corrode,1,2,50.0
NRG,Sentinels,Corrode,1,1,100.0
NRG,Paper Rex,Corrode,0,1,0.0
Natus Vincere,Team Liquid,Corrode,0,1,0.0
Nongshim RedForce,Rex Regum Qeon,Corrode,1,2,50.0
Nongshim RedForce,TALON,Corrode,0,1,0.0
Nongshim RedForce,Paper Rex,Corrode,1,1,100.0
Nongshim RedForce,T1,Corrode,1,1,100.0
Nova Esports,Wolves Esports,Corrode,1,1,100.0
Nova Esports,TYLOO,Corrode,0,1,0.0
Paper Rex,Rex Regum Qeon,Corrode,0,1,0.0
Rex Regum Qeon,TALON,Corrode,1,1,100.0
T1,ZETA DIVISION,Corrode,1,1,100.0
T1,TALON,Corrode,0,1,0.0
TYLOO,Trace Esports,Corrode,1,1,100.0
TYLOO,Titan Esports Club,Corrode,0,1,0.0
Team Alpha,Team Omega,Corrode,1,1,100.0
Team EMEA,Team France,Corrode,1,1,100.0
Team Liquid,Team Vitality,Corrode,0,2,0.0
Team Vitality,ULF Esports,Corrode,1,1,100.0
100 Thieves,DRX,Fracture,0,1,0.0
100 Thieves,Evil Geniuses,Fracture,1,1,100.0
100 Thieves,KRÜ Esports,Fracture,0,1,0.0
100 Thieves,NRG,Fracture,1,2,50.0
100 Thieves,MIBR,Fracture,2,2,100.0
Acend,Gambit Esports,Fracture,0,1,0.0
All Gamers,Xi Lai Gaming,Fracture,0,1,0.0
All Gamers,Bilibili Gaming,Fracture,0,1,0.0
All Gamers,Wolves Esports,Fracture,1,1,100.0
All Gamers,EDward Gaming,Fracture,0,1,0.0
All Gamers,TYLOO,Fracture,1,1,100.0
BBL Esports,Karmine Corp,Fracture,1,1,100.0
BBL Esports,Team Liquid,Fracture,0,2,0.0
BBL Esports,Natus Vincere,Fracture,1,1,100.0
BBL Esports,FNATIC,Fracture,0,2,0.0
BOOM Esports,OpTic Gaming,Fracture,0,1,0.0
BOOM Esports,ZETA DIVISION,Fracture,0,1,0.0
BOOM Esports,Paper Rex,Fracture,1,2,50.0
BOOM Esports,DetonatioN FocusMe,Fracture,1,1,100.0
BOOM Esports,T1,Fracture,0,1,0.0
Bilibili Gaming,Xi Lai Gaming,Fracture,1,2,50.0
Bilibili Gaming,JDG Esports,Fracture,2,2,100.0
Bilibili Gaming,Trace Esports,Fracture,1,1,100.0
Bilibili Gaming,EDward Gaming,Fracture,0,1,0.0
Bilibili Gaming,Titan Esports Club,Fracture,0,1,0.0
Bilibili Gaming,FunPlus Phoenix,Fracture,0,1,0.0
Cloud9,FNATIC,Fracture,0,1,0.0
Cloud9,NRG,Fracture,2,2,100.0
Cloud9,Evil Geniuses,Fracture,0,1,0.0
DRX,FNATIC,Fracture,1,1,100.0
DRX,OpTic Gaming,Fracture,2,2,100.0
DRX,FunPlus Phoenix,Fracture,1,2,50.0
DRX,Evil Geniuses,Fracture,0,1,0.0
DRX,T1,Fracture,3,4,75.0
DRX,Rex Regum Qeon,Fracture,1,1,100.0
DRX,TALON,Fracture,1,1,100.0
DRX,Nongshim RedForce,Fracture,1,1,100.0
DetonatioN FocusMe,Gen.G,Fracture,0,1,0.0
DetonatioN FocusMe,VARREL,Fracture,1,1,100.0
DetonatioN FocusMe,Rex Regum Qeon,Fracture,0,1,0.0
Dragon Ranger Gaming,Nova Esports,Fracture,1,1,100.0
Dragon Ranger Gaming,Titan Esports Club,Fracture,1,2,50.0
Dragon Ranger Gaming,TYLOO,Fracture,0,1,0.0
EDward Gaming,Paper Rex,Fracture,0,1,0.0
EDward Gaming,Giants Gaming,Fracture,1,1,100.0
EDward Gaming,TYLOO,Fracture,1,1,100.0
EDward Gaming,Nova Esports,Fracture,2,3,66.67
EDward Gaming,FunPlus Phoenix,Fracture,1,1,100.0
EDward Gaming,G2 Esports,Fracture,1,1,100.0
EDward Gaming,T1,Fracture,1,1,100.0
EDward Gaming,Trace Esports,Fracture,1,1,100.0
EDward Gaming,Wolves Esports,Fracture,1,1,100.0
EDward Gaming,JDG Esports,Fracture,0,1,0.0
EDward Gaming,Xi Lai Gaming,Fracture,0,1,0.0
ENVY,LEVIATÁN,Fracture,0,1,0.0
Eternal Fire,PCIFIC Esports,Fracture,1,1,100.0
Eternal Fire,Team Heretics,Fracture,0,2,0.0
Evil Geniuses,FURIA,Fracture,1,1,100.0
Evil Geniuses,NRG,Fracture,0,1,0.0
FNATIC,Vision Strikers,Fracture,1,1,100.0
FNATIC,XSET,Fracture,0,1,0.0
FNATIC,LEVIATÁN,Fracture,1,1,100.0
FNATIC,FunPlus Phoenix,Fracture,0,1,0.0
FNATIC,ZETA DIVISION,Fracture,1,2,50.0
FNATIC,Natus Vincere,Fracture,1,2,50.0
FNATIC,Team Liquid,Fracture,1,1,100.0
FNATIC,Team Heretics,Fracture,3,3,100.0
FNATIC,Gentle Mates,Fracture,1,1,100.0
FNATIC,FUT Esports,Fracture,0,1,0.0
FULL SENSE,ZETA DIVISION,Fracture,1,1,100.0
FULL SENSE,Rex Regum Qeon,Fracture,0,1,0.0
FULL SENSE,Kiwoom DRX,Fracture,1,1,100.0
FULL SENSE,Paper Rex,Fracture,0,1,0.0
FURIA,KRÜ Esports,Fracture,1,1,100.0
FURIA,NRG,Fracture,0,1,0.0
FUT Esports,Gentle Mates,Fracture,1,1,100.0
FUT Esports,Team Vitality,Fracture,1,1,100.0
FUT Esports,Team Liquid,Fracture,1,1,100.0
FUT Esports,Natus Vincere,Fracture,0,1,0.0
FunPlus Phoenix,XSET,Fracture,1,1,100.0
FunPlus Phoenix,NORTHEPTION,Fracture,1,1,100.0
FunPlus Phoenix,OpTic Gaming,Fracture,1,1,100.0
FunPlus Phoenix,Paper Rex,Fracture,1,1,100.0
FunPlus Phoenix,Titan Esports Club,Fracture,1,2,50.0
G2 Esports,LEVIATÁN,Fracture,2,3,66.67
G2 Esports,Sentinels,Fracture,1,1,100.0
GIANTX,Natus Vincere,Fracture,1,1,100.0
GIANTX,Karmine Corp,Fracture,1,1,100.0
GIANTX,Team Liquid,Fracture,0,1,0.0
Gambit Esports,X10 Esports,Fracture,1,1,100.0
Gen.G,Paper Rex,Fracture,0,2,0.0
Gen.G,Rex Regum Qeon,Fracture,0,1,0.0
Gentle Mates,KOI,Fracture,0,1,0.0
Gentle Mates,Team Heretics,Fracture,0,2,0.0
Gentle Mates,Karmine Corp,Fracture,1,1,100.0
Gentle Mates,Team Liquid,Fracture,1,1,100.0
Global Esports,Kiwoom DRX,Fracture,0,1,0.0
Guild Esports,KRÜ Esports,Fracture,1,1,100.0
Guild Esports,Paper Rex,Fracture,0,1,0.0
JDG Esports,Xi Lai Gaming,Fracture,0,1,0.0
JDG Esports,Titan Esports Club,Fracture,2,2,100.0
JDG Esports,TYLOO,Fracture,0,1,0.0
KOI,Team Liquid,Fracture,1,1,100.0
KRÜ Esports,Sentinels,Fracture,0,1,0.0
KRÜ Esports,LOUD,Fracture,0,2,0.0
KRÜ Esports,Team Liquid,Fracture,0,1,0.0
Karmine Corp,Team Heretics,Fracture,0,1,0.0
Karmine Corp,Paper Rex,Fracture,1,1,100.0
Karmine Corp,NRG,Fracture,1,1,100.0
Kiwoom DRX,Team Secret,Fracture,1,1,100.0
Kiwoom DRX,Nongshim RedForce,Fracture,0,1,0.0
LEVIATÁN,NRG,Fracture,0,1,0.0
LEVIATÁN,MIBR,Fracture,0,1,0.0
LOUD,ZETA DIVISION,Fracture,1,1,100.0
LOUD,OpTic Gaming,Fracture,0,3,0.0
NRG,Sentinels,Fracture,1,1,100.0
NRG,Paper Rex,Fracture,0,1,0.0
Natus Vincere,Team Liquid,Fracture,1,1,100.0
Ninjas In Pyjamas,ZETA DIVISION,Fracture,0,1,0.0
Nongshim RedForce,TALON,Fracture,0,1,0.0
Nongshim RedForce,Rex Regum Qeon,Fracture,0,1,0.0
Nongshim RedForce,Paper Rex,Fracture,1,1,100.0
Nongshim RedForce,Team Secret,Fracture,0,1,0.0
Nova Esports,Titan Esports Club,Fracture,0,1,0.0
Nova Esports,Wolves Esports,Fracture,2,2,100.0
OpTic Gaming,Paper Rex,Fracture,0,1,0.0
OpTic Gaming,XERXIA Esports,Fracture,1,1,100.0
OpTic Gaming,The Guard,Fracture,1,1,100.0
OpTic Gaming,ZETA DIVISION,Fracture,1,1,100.0
Paper Rex,T1,Fracture,1,2,50.0
Paper Rex,Rex Regum Qeon,Fracture,1,1,100.0
Paper Rex,ZETA DIVISION,Fracture,1,1,100.0
Rex Regum Qeon,ZETA DIVISION,Fracture,1,1,100.0
T1,ZETA DIVISION,Fracture,1,1,100.0
T1,Team Vitality,Fracture,0,1,0.0
T1,TALON,Fracture,1,1,100.0
TALON,Team Secret,Fracture,1,1,100.0
TYLOO,Titan Esports Club,Fracture,3,4,75.0
Team Heretics,Team Liquid,Fracture,0,1,0.0
Team Liquid,ZETA DIVISION,Fracture,0,1,0.0
Team Liquid,Team Vitality,Fracture,0,1,0.0
Titan Esports Club,Trace Esports,Fracture,1,1,100.0
Trace Esports,Wolves Esports,Fracture,0,1,0.0
VARREL,ZETA DIVISION,Fracture,0,1,0.0
Wolves Esports,Xi Lai Gaming,Fracture,1,2,50.0
XERXIA Esports,XSET,Fracture,0,1,0.0
100 Thieves,Acend,Haven,1,1,100.0
100 Thieves,ENVY,Haven,0,1,0.0
100 Thieves,FNATIC,Haven,1,1,100.0
100 Thieves,LEVIATÁN,Haven,1,1,100.0
100 Thieves,G2 Esports,Haven,1,3,33.33
100 Thieves,Cloud9,Haven,0,1,0.0
100 Thieves,Sentinels,Haven,1,2,50.0
100 Thieves,Evil Geniuses,Haven,3,3,100.0
100 Thieves,LOUD,Haven,1,2,50.0
100 Thieves,NRG,Haven,1,3,33.33
100 Thieves,KRÜ Esports,Haven,0,1,0.0
100 Thieves,FURIA,Haven,1,1,100.0
100 Thieves,BBL Esports,Haven,1,1,100.0
100 Thieves,MIBR,Haven,1,1,100.0
100 Thieves,Nongshim RedForce,Haven,1,1,100.0
2Game Esports,G2 Esports,Haven,0,1,0.0
2Game Esports,Sentinels,Haven,0,3,0.0
2Game Esports,Evil Geniuses,Haven,0,1,0.0
2Game Esports,FURIA,Haven,0,1,0.0
A Team,Wolves Esports,Haven,1,1,100.0
Acend,Vision Strikers,Haven,0,1,0.0
All Gamers,Nova Esports,Haven,0,1,0.0
All Gamers,FunPlus Phoenix,Haven,0,1,0.0
All Gamers,JDG Esports,Haven,1,1,100.0
All Gamers,TYLOO,Haven,1,2,50.0
All Gamers,Dragon Ranger Gaming,Haven,1,2,50.0
All Gamers,Xi Lai Gaming,Haven,1,2,50.0
All Gamers,Bilibili Gaming,Haven,1,1,100.0
All Gamers,Team Heretics,Haven,0,1,0.0
