Team,Map,Wins,Played,Winrate
Rex Regum Qeon,Fracture,5,7,71.43
Sentinels,Fracture,1,3,33.33
T1,Fracture,5,11,45.45
TALON,Fracture,2,4,50.0
TYLOO,Fracture,5,8,62.5
Team Heretics,Fracture,5,9,55.56
Team Liquid,Fracture,5,12,41.67
Team Secret,Fracture,1,3,33.33
Team Vitality,Fracture,2,3,66.67
The Guard,Fracture,0,1,0.0
Titan Esports Club,Fracture,6,13,46.15
Trace Esports,Fracture,0,4,0.0
VARREL,Fracture,0,2,0.0
Vision Strikers,Fracture,0,1,0.0
Wolves Esports,Fracture,2,7,28.57
X10 Esports,Fracture,0,1,0.0
XERXIA Esports,Fracture,0,2,0.0
XSET,Fracture,2,3,66.67
Xi Lai Gaming,Fracture,5,7,71.43
ZETA DIVISION,Fracture,5,12,41.67
100 Thieves,Haven,14,23,60.87
2Game Esports,Haven,0,6,0.0
A Team,Haven,1,1,100.0
Acend,Haven,0,2,0.0
All Gamers,Haven,5,12,41.67
Apeks,Haven,0,4,0.0
BBL Esports,Haven,9,20,45.0
BOOM Esports,Haven,3,4,75.0
Bilibili Gaming,Haven,8,23,34.78
Cat Gang,Haven,0,2,0.0
Cloud9,Haven,8,14,57.14
Crazy Raccoon,Haven,1,4,25.0
DRX,Haven,10,21,47.62
DetonatioN FocusMe,Haven,4,12,33.33
Dominus Esports,Haven,2,2,100.0
Dragon Ranger Gaming,Haven,12,22,54.55
EDward Gaming,Haven,16,29,55.17
ENVY,Haven,4,11,36.36
Eintracht Frankfurt,Haven,2,2,100.0
Enterprise Esports,Haven,1,2,50.0
Eternal Fire,Haven,0,1,0.0
Evil Geniuses,Haven,5,15,33.33
F4Q,Haven,0,2,0.0
FNATIC,Haven,21,37,56.76
FULL SENSE,Haven,1,8,12.5
FURIA,Haven,8,22,36.36
FUT Esports,Haven,10,17,58.82
Fire Flux Esports,Haven,0,1,0.0
FunPlus Phoenix,Haven,6,15,40.0
G2 Esports,Haven,21,32,65.62
GIANTX,Haven,9,17,52.94
Gambit Esports,Haven,1,1,100.0
Gen.G,Haven,16,22,72.73
Gentle Mates,Haven,11,19,57.89
Global Esports,Haven,5,12,41.67
JDG Esports,Haven,8,20,40.0
KOI,Haven,1,4,25.0
KRÜ Esports,Haven,13,26,50.0
Karmine Corp,Haven,11,17,64.71
Keyd Stars,Haven,0,2,0.0
Kiwoom DRX,Haven,6,10,60.0
LEVIATÁN,Haven,12,19,63.16
LOUD,Haven,10,23,43.48
Lavie,Haven,1,1,100.0
Liberty,Haven,0,1,0.0
MIBR,Haven,12,22,54.55
MadHood,Haven,1,1,100.0
NORTHEPTION,Haven,1,1,100.0
NRG,Haven,15,24,62.5
NUTURN,Haven,0,4,0.0
Natus Vincere,Haven,7,14,50.0
Nongshim RedForce,Haven,10,19,52.63
Nova Esports,Haven,2,7,28.57
ONSIDE GAMING,Haven,2,2,100.0
OpTic Gaming,Haven,6,9,66.67
PCIFIC Esports,Haven,0,3,0.0
Papara SuperMassive,Haven,0,1,0.0
Paper Rex,Haven,15,25,60.0
Penguins and Frogs,Haven,0,1,0.0
QT DIG∞,Haven,1,1,100.0
Rex Regum Qeon,Haven,14,26,53.85
Sentinels,Haven,18,30,60.0
Sharks Esports,Haven,1,1,100.0
Sharper Esports,Haven,1,3,33.33
T1,Haven,17,29,58.62
TALON,Haven,6,9,66.67
TYLOO,Haven,6,16,37.5
Team Heretics,Haven,18,26,69.23
Team Liquid,Haven,12,23,52.17
Team Secret,Haven,4,10,40.0
Team Vikings,Haven,1,4,25.0
Team Vitality,Haven,8,21,38.1
The Guard,Haven,1,2,50.0
The Mad Men,Haven,0,1,0.0
Titan Esports Club,Haven,6,15,40.0
Trace Esports,Haven,3,10,30.0
ULF Esports,Haven,0,1,0.0
VARREL,Haven,3,9,33.33
Version1,Haven,2,2,100.0
Vision Strikers,Haven,4,4,100.0
Wolves Esports,Haven,7,14,50.0
X10 Esports,Haven,3,4,75.0
XERXIA Esports,Haven,1,4,25.0
XSET,Haven,0,3,0.0
Xi Lai Gaming,Haven,14,22,63.64
Xipto Esports,Haven,0,1,0.0
ZETA DIVISION,Haven,4,20,20.0
100 Thieves,Icebox,4,8,50.0
2Game Esports,Icebox,0,2,0.0
Acend,Icebox,2,4,50.0
All Gamers,Icebox,3,4,75.0
Apeks,Icebox,0,3,0.0
BBL Esports,Icebox,5,8,62.5
BOOM Esports,Icebox,1,2,50.0
Bilibili Gaming,Icebox,6,10,60.0
Cat Gang,Icebox,1,2,50.0
Cloud9,Icebox,2,5,40.0
Crazy Raccoon,Icebox,0,5,0.0
DRX,Icebox,7,16,43.75
DetonatioN FocusMe,Icebox,2,2,100.0
Dragon Ranger Gaming,Icebox,1,4,25.0
EDward Gaming,Icebox,4,8,50.0
ENVY,Icebox,3,3,100.0
Evil Geniuses,Icebox,2,2,100.0
FNATIC,Icebox,15,19,78.95
FURIA,Icebox,1,3,33.33
FUT Esports,Icebox,0,2,0.0
FunPlus Phoenix,Icebox,5,12,41.67
