Tournament,Stage,Match Type,Map,Team A,Team B,Team A Score,Team B Score
VCT 2026: China Stage 2,Group Stage,Week 2,Sunset,Dragon Ranger Gaming,Wolves Esports,9,13
VCT 2026: China Stage 2,Group Stage,Week 2,Haven,Dragon Ranger Gaming,Wolves Esports,13,9
VCT 2026: China Stage 2,Group Stage,Week 2,Lotus,Dragon Ranger Gaming,Wolves Esports,8,13
VCT 2026: China Stage 2,Group Stage,Week 2,Breeze,EDward Gaming,JDG Esports,13,10
VCT 2026: China Stage 2,Group Stage,Week 2,Haven,EDward Gaming,JDG Esports,13,7
VCT 2026: China Stage 2,Group Stage,Week 3,Split,Titan Esports Club,All Gamers,10,13
VCT 2026: China Stage 2,Group Stage,Week 3,Lotus,Bilibili Gaming,Xi Lai Gaming,13,2
VCT 2026: China Stage 2,Group Stage,Week 3,Ascent,Bilibili Gaming,Xi Lai Gaming,13,11
VCT 2026: China Stage 2,Group Stage,Week 3,Ascent,JDG Esports,Trace Esports,13,8
VCT 2026: China Stage 2,Group Stage,Week 3,Lotus,JDG Esports,Trace Esports,13,10
VCT 2026: China Stage 2,Group Stage,Week 3,Sunset,EDward Gaming,Nova Esports,13,15
VCT 2026: China Stage 2,Group Stage,Week 3,Lotus,EDward Gaming,Nova Esports,10,13
VCT 2026: China Stage 2,Group Stage,Week 3,Lotus,Xi Lai Gaming,Wolves Esports,3,13
VCT 2026: China Stage 2,Group Stage,Week 3,Split,Xi Lai Gaming,Wolves Esports,13,3
VCT 2026: China Stage 2,Group Stage,Week 3,Split,All Gamers,Dragon Ranger Gaming,2,13
VCT 2026: China Stage 2,Group Stage,Week 3,Haven,All Gamers,Dragon Ranger Gaming,13,7
VCT 2026: China Stage 2,Group Stage,Week 3,Lotus,All Gamers,Dragon Ranger Gaming,14,12
VCT 2026: Americas Stage 2,Group Stage,Week 1,Haven,LEVIATÁN,FURIA,13,8
VCT 2026: Americas Stage 2,Group Stage,Week 1,Sunset,LEVIATÁN,FURIA,1,13
VCT 2026: Americas Stage 2,Group Stage,Week 1,Split,LEVIATÁN,FURIA,13,8
