Tournament,Stage,Match Type,Map,Team A,Team B,Team A Score,Team B Score
VCT 2026: Americas Stage 2,Group Stage,Week 3,Breeze,KRÜ Esports,G2 Esports,8,13
VCT 2026: Americas Stage 2,Group Stage,Week 3,Lotus,KRÜ Esports,G2 Esports,10,13
VCT 2026: Americas Stage 2,Group Stage,Week 3,Sunset,100 Thieves,Sentinels,13,15
VCT 2026: Americas Stage 2,Group Stage,Week 3,Ascent,100 Thieves,Sentinels,13,8
VCT 2026: Americas Stage 2,Group Stage,Week 3,Breeze,100 Thieves,Sentinels,13,5
VCT 2026: Americas Stage 2,Group Stage,Week 3,Haven,Cloud9,LOUD,13,8
VCT 2026: Americas Stage 2,Group Stage,Week 3,Sunset,Cloud9,LOUD,8,13
VCT 2026: Americas Stage 2,Group Stage,Week 3,Summit,Cloud9,LOUD,8,13
VCT 2026: Americas Stage 2,Group Stage,Week 3,Haven,Evil Geniuses,MIBR,12,14
VCT 2026: Americas Stage 2,Group Stage,Week 3,Ascent,Evil Geniuses,MIBR,2,13
VCT 2026: Americas Stage 2,Group Stage,Week 3,Haven,ENVY,FURIA,15,17
VCT 2026: Americas Stage 2,Group Stage,Week 3,Sunset,ENVY,FURIA,13,9
VCT 2026: Americas Stage 2,Group Stage,Week 3,Ascent,ENVY,FURIA,13,6
VCT 2026: Americas Stage 2,Group Stage,Week 3,Summit,LEVIATÁN,NRG,10,13
VCT 2026: Americas Stage 2,Group Stage,Week 3,Sunset,LEVIATÁN,NRG,13,6
VCT 2026: Americas Stage 2,Group Stage,Week 3,Haven,LEVIATÁN,NRG,14,16
VCT 2026: Americas Stage 2,Group Stage,Week 3,Breeze,Cloud9,KRÜ Esports,13,7
VCT 2026: Americas Stage 2,Group Stage,Week 3,Split,Cloud9,KRÜ Esports,13,5
VCT 2026: Americas Stage 2,Group Stage,Week 3,Breeze,G2 Esports,Sentinels,11,13
VCT 2026: Americas Stage 2,Group Stage,Week 3,Lotus,G2 Esports,Sentinels,13,10
VCT 2026: Americas Stage 2,Group Stage,Week 3,Split,G2 Esports,Sentinels,13,8
VCT 2026: Americas Stage 2,Group Stage,Week 4,Summit,Evil Geniuses,FURIA,13,11
VCT 2026: Americas Stage 2,Group Stage,Week 4,Breeze,Evil Geniuses,FURIA,13,3
VCT 2026: Americas Stage 2,Group Stage,Week 4,Breeze,ENVY,NRG,6,13
VCT 2026: Americas Stage 2,Group Stage,Week 4,Haven,ENVY,NRG,9,13
VCT 2026: Americas Stage 2,Group Stage,Week 4,Split,100 Thieves,Cloud9,13,15
VCT 2026: Americas Stage 2,Group Stage,Week 4,Breeze,100 Thieves,Cloud9,11,13
VCT 2026: Americas Stage 2,Group Stage,Week 4,Sunset,G2 Esports,LOUD,13,15
VCT 2026: Americas Stage 2,Group Stage,Week 4,Lotus,G2 Esports,LOUD,1,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Lotus,Eternal Fire,Team Heretics,10,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Haven,Eternal Fire,Team Heretics,0,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Sunset,Gentle Mates,Natus Vincere,13,10
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Haven,Gentle Mates,Natus Vincere,13,7
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Lotus,FUT Esports,BBL Esports,7,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Split,FUT Esports,BBL Esports,13,7
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Sunset,FUT Esports,BBL Esports,13,11
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Summit,Team Liquid,FNATIC,13,6
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Lotus,Team Liquid,FNATIC,13,5
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Haven,PCIFIC Esports,Team Vitality,6,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Sunset,PCIFIC Esports,Team Vitality,7,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Split,Eternal Fire,GIANTX,5,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Ascent,Eternal Fire,GIANTX,7,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Haven,BBL Esports,Natus Vincere,11,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Ascent,BBL Esports,Natus Vincere,13,9
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Sunset,BBL Esports,Natus Vincere,13,3
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Sunset,Team Heretics,Karmine Corp,4,13
VCT 2026: EMEA Stage 2,Group Stage,Week 2,Lotus,Team Heretics,Karmine Corp,2,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Breeze,GIANTX,Team Liquid,6,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Split,GIANTX,Team Liquid,7,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Haven,Gentle Mates,Team Vitality,16,14
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Split,Gentle Mates,Team Vitality,7,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Ascent,Gentle Mates,Team Vitality,9,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Ascent,Natus Vincere,PCIFIC Esports,13,11
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Summit,Natus Vincere,PCIFIC Esports,14,12
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Summit,Eternal Fire,FNATIC,16,14
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Split,Eternal Fire,FNATIC,13,4
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Lotus,BBL Esports,Gentle Mates,10,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Ascent,BBL Esports,Gentle Mates,13,5
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Sunset,BBL Esports,Gentle Mates,13,10
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Haven,GIANTX,Team Heretics,6,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Ascent,GIANTX,Team Heretics,10,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Lotus,FUT Esports,Team Vitality,6,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Haven,FUT Esports,Team Vitality,14,12
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Split,FUT Esports,Team Vitality,6,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Lotus,Karmine Corp,Team Liquid,13,11
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Summit,Karmine Corp,Team Liquid,11,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Haven,Karmine Corp,Team Liquid,13,11
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Sunset,BBL Esports,PCIFIC Esports,13,7
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Lotus,BBL Esports,PCIFIC Esports,9,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Ascent,BBL Esports,PCIFIC Esports,13,7
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Summit,FNATIC,Team Heretics,11,13
VCT 2026: EMEA Stage 2,Group Stage,Week 3,Ascent,FNATIC,Team Heretics,0,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Round 1,Lotus,Trace Esports,A Team,13,6
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Round 1,Sunset,Trace Esports,A Team,13,11
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Round 1,Sunset,Titan Esports Club,KeepBest Gaming,10,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Round 1,Summit,Titan Esports Club,KeepBest Gaming,16,14
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Round 1,Ascent,Titan Esports Club,KeepBest Gaming,13,2
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Summit,FunPlus Phoenix,JDG Esports,13,0
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Sunset,FunPlus Phoenix,JDG Esports,11,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Split,FunPlus Phoenix,JDG Esports,8,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Sunset,All Gamers,Trace Esports,5,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Split,All Gamers,Trace Esports,13,8
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Summit,All Gamers,Trace Esports,13,2
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Sunset,EDward Gaming,Titan Esports Club,13,7
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Split,EDward Gaming,Titan Esports Club,11,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Ascent,EDward Gaming,Titan Esports Club,9,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 1,Haven,A Team,Wolves Esports,13,11
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 1,Ascent,A Team,Wolves Esports,8,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 1,Summit,A Team,Wolves Esports,14,16
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 1,Breeze,KeepBest Gaming,FunPlus Phoenix,10,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 1,Sunset,KeepBest Gaming,FunPlus Phoenix,8,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Lotus,GIANTX,Eintracht Frankfurt,13,5
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Ascent,GIANTX,Eintracht Frankfurt,9,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Summit,GIANTX,Eintracht Frankfurt,13,9
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Breeze,Natus Vincere,Joblife,8,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Split,Natus Vincere,Joblife,13,7
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Ascent,Natus Vincere,Joblife,13,15
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Summit,PCIFIC Esports,Fire Flux Esports,5,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Split,PCIFIC Esports,Fire Flux Esports,6,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Lotus,FNATIC,Enterprise Esports,13,3
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Split,FNATIC,Enterprise Esports,10,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Round 1,Haven,FNATIC,Enterprise Esports,11,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Split,FUT Esports,GIANTX,13,6
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Sunset,FUT Esports,GIANTX,13,10
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Split,VARREL,Paper Rex,13,9
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Sunset,VARREL,Paper Rex,13,11
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Breeze,Nongshim RedForce,Rex Regum Qeon,12,14
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Sunset,Nongshim RedForce,Rex Regum Qeon,13,11
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Haven,Nongshim RedForce,Rex Regum Qeon,10,13
VCT 2026: Americas Stage 2,Group Stage,Week 4,Summit,KRÜ Esports,Sentinels,6,13
VCT 2026: Americas Stage 2,Group Stage,Week 4,Sunset,KRÜ Esports,Sentinels,13,6
VCT 2026: Americas Stage 2,Group Stage,Week 4,Breeze,KRÜ Esports,Sentinels,13,7
VCT 2026: Americas Stage 2,Group Stage,Week 4,Split,LEVIATÁN,MIBR,13,10
VCT 2026: Americas Stage 2,Group Stage,Week 4,Sunset,LEVIATÁN,MIBR,13,8
VCT 2026: Americas Stage 2,Group Stage,Week 4,Lotus,Evil Geniuses,NRG,1,13
VCT 2026: Americas Stage 2,Group Stage,Week 4,Breeze,Evil Geniuses,NRG,7,13
VCT 2026: Americas Stage 2,Group Stage,Week 4,Summit,LOUD,100 Thieves,8,13
VCT 2026: Americas Stage 2,Group Stage,Week 4,Haven,LOUD,100 Thieves,10,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 2,Ascent,EDward Gaming,Wolves Esports,11,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 2,Sunset,EDward Gaming,Wolves Esports,13,10
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 2,Haven,EDward Gaming,Wolves Esports,13,6
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Semifinals,Summit,All Gamers,JD Gaming,13,11
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Semifinals,Sunset,All Gamers,JD Gaming,14,12
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 3,Breeze,JD Gaming,EDward Gaming,13,6
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 3,Summit,JD Gaming,EDward Gaming,13,9
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 3,Sunset,Dragon Ranger Gaming,Trace Esports,16,14
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 3,Ascent,Dragon Ranger Gaming,Trace Esports,4,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Round 3,Summit,Dragon Ranger Gaming,Trace Esports,12,14
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Final,Sunset,All Gamers,Titan Esports Club,13,10
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Final,Ascent,All Gamers,Titan Esports Club,12,14
VCT 2026: China Stage 2,Main Event,Play-Ins: Upper Final,Summit,All Gamers,Titan Esports Club,9,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Final,Split,JD Gaming,Trace Esports,10,13
VCT 2026: China Stage 2,Main Event,Play-Ins: Lower Final,Sunset,JD Gaming,Trace Esports,8,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Lotus,Eternal Fire,Joblife,10,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Split,Eternal Fire,Joblife,14,12
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Ascent,Eternal Fire,Joblife,13,7
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Summit,Team Heretics,Fire Flux Esports,13,9
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Sunset,Team Heretics,Fire Flux Esports,2,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Ascent,Team Heretics,Fire Flux Esports,9,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Summit,Gentle Mates,Enterprise Esports,9,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Lotus,Gentle Mates,Enterprise Esports,6,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 1,Split,Gentle Mates,Eintracht Frankfurt,11,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 1,Haven,Gentle Mates,Eintracht Frankfurt,9,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 1,Sunset,Team Heretics,Natus Vincere,15,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 1,Haven,Team Heretics,Natus Vincere,11,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 1,Summit,Team Heretics,Natus Vincere,13,7
VCT 2026: China Stage 2,Playoffs,Upper Quarterfinals,Sunset,TYLOO,Titan Esports Club,13,5
VCT 2026: China Stage 2,Playoffs,Upper Quarterfinals,Haven,TYLOO,Titan Esports Club,13,6
VCT 2026: China Stage 2,Playoffs,Upper Quarterfinals,Summit,Nova Esports,JD Gaming,9,13
VCT 2026: China Stage 2,Playoffs,Upper Quarterfinals,Split,Nova Esports,JD Gaming,7,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 1,Lotus,Joblife,PCIFIC Esports,13,6
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 1,Ascent,Joblife,PCIFIC Esports,8,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 1,Split,Joblife,PCIFIC Esports,13,10
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 1,Sunset,GIANTX,FNATIC,6,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 1,Split,GIANTX,FNATIC,6,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 2,Lotus,Eintracht Frankfurt,Team Heretics,13,11
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 2,Haven,Eintracht Frankfurt,Team Heretics,13,7
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 2,Lotus,Joblife,FNATIC,13,11
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 2,Breeze,Joblife,FNATIC,13,8
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Breeze,KRÜ Esports,BESTIA,3,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Sunset,KRÜ Esports,BESTIA,13,1
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Summit,KRÜ Esports,BESTIA,13,6
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Ascent,ENVY,M80,13,5
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Split,ENVY,M80,13,11
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Ascent,FURIA,2Game Esports,11,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Split,FURIA,2Game Esports,13,7
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Sunset,FURIA,2Game Esports,13,10
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Lotus,Cloud9,Fluxo W7M,7,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Breeze,Cloud9,Fluxo W7M,13,4
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Round 1,Split,Cloud9,Fluxo W7M,13,4
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Round 1,Lotus,Kiwoom DRX,ONSIDE GAMING,13,10
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Round 1,Sunset,Kiwoom DRX,ONSIDE GAMING,13,8
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Round 1,Haven,Rex Regum Qeon,Sharper Esports,10,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Round 1,Sunset,Rex Regum Qeon,Sharper Esports,13,1
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Round 1,Breeze,Rex Regum Qeon,Sharper Esports,6,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Round 1,Split,FULL SENSE,QT DIG∞,13,7
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Round 1,Haven,FULL SENSE,QT DIG∞,8,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Round 1,Summit,FULL SENSE,QT DIG∞,13,4
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Round 1,Summit,Team Secret,Xipto Esports,13,8
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Round 1,Sunset,Team Secret,Xipto Esports,13,11
VCT 2026: China Stage 2,Playoffs,Upper Quarterfinals,Split,Xi Lai Gaming,All Gamers,3,13
VCT 2026: China Stage 2,Playoffs,Upper Quarterfinals,Lotus,Xi Lai Gaming,All Gamers,13,5
VCT 2026: China Stage 2,Playoffs,Upper Quarterfinals,Sunset,Xi Lai Gaming,All Gamers,13,10
VCT 2026: China Stage 2,Playoffs,Upper Quarterfinals,Lotus,Bilibili Gaming,Trace Esports,8,13
VCT 2026: China Stage 2,Playoffs,Upper Quarterfinals,Sunset,Bilibili Gaming,Trace Esports,16,14
VCT 2026: China Stage 2,Playoffs,Upper Quarterfinals,Split,Bilibili Gaming,Trace Esports,13,9
VCT 2026: China Stage 2,Playoffs,Lower Round 1,Summit,Titan Esports Club,Nova Esports,11,13
VCT 2026: China Stage 2,Playoffs,Lower Round 1,Sunset,Titan Esports Club,Nova Esports,8,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Semifinals,Lotus,FUT Esports,Eternal Fire,15,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Semifinals,Ascent,FUT Esports,Eternal Fire,13,9
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Semifinals,Lotus,Fire Flux Esports,Enterprise Esports,13,15
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Upper Semifinals,Split,Fire Flux Esports,Enterprise Esports,10,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 3,Lotus,Eternal Fire,Eintracht Frankfurt,11,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 3,Split,Eternal Fire,Eintracht Frankfurt,7,13
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 3,Split,Fire Flux Esports,Joblife,13,9
VCT 2026: EMEA Stage 2,Main Event,Play-Ins: Lower Round 3,Lotus,Fire Flux Esports,Joblife,13,8
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Breeze,MIBR,KRÜ Esports,13,6
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Sunset,MIBR,KRÜ Esports,13,6
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Ascent,Sentinels,ENVY,10,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Summit,Sentinels,ENVY,3,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Lotus,ZETA DIVISION,Kiwoom DRX,11,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Sunset,ZETA DIVISION,Kiwoom DRX,13,11
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Haven,ZETA DIVISION,Kiwoom DRX,6,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Ascent,DetonatioN FocusMe,Sharper Esports,12,14
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Sunset,DetonatioN FocusMe,Sharper Esports,13,9
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Breeze,DetonatioN FocusMe,Sharper Esports,10,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Breeze,T1,FULL SENSE,13,1
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Lotus,T1,FULL SENSE,13,8
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Summit,Nongshim RedForce,Team Secret,13,9
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Breeze,Nongshim RedForce,Team Secret,13,5
VCT 2026: China Stage 2,Playoffs,Upper Semifinals,Breeze,TYLOO,JD Gaming,7,13
VCT 2026: China Stage 2,Playoffs,Upper Semifinals,Summit,TYLOO,JD Gaming,13,10
VCT 2026: China Stage 2,Playoffs,Upper Semifinals,Ascent,TYLOO,JD Gaming,9,13
VCT 2026: China Stage 2,Playoffs,Upper Semifinals,Lotus,Xi Lai Gaming,Bilibili Gaming,11,13
VCT 2026: China Stage 2,Playoffs,Upper Semifinals,Split,Xi Lai Gaming,Bilibili Gaming,13,8
VCT 2026: China Stage 2,Playoffs,Upper Semifinals,Haven,Xi Lai Gaming,Bilibili Gaming,5,13
VCT 2026: China Stage 2,Playoffs,Upper Final,Lotus,JD Gaming,Bilibili Gaming,13,7
VCT 2026: China Stage 2,Playoffs,Upper Final,Split,JD Gaming,Bilibili Gaming,13,8
VCT 2026: China Stage 2,Playoffs,Lower Round 2,Split,Xi Lai Gaming,Nova Esports,13,6
VCT 2026: China Stage 2,Playoffs,Lower Round 2,Lotus,Xi Lai Gaming,Nova Esports,5,13
VCT 2026: China Stage 2,Playoffs,Lower Round 2,Breeze,Xi Lai Gaming,Nova Esports,3,13
VCT 2026: China Stage 2,Playoffs,Lower Round 2,Sunset,TYLOO,All Gamers,13,9
VCT 2026: China Stage 2,Playoffs,Lower Round 2,Split,TYLOO,All Gamers,14,12
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Split,G2 Esports,FURIA,14,12
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Haven,G2 Esports,FURIA,10,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Breeze,G2 Esports,FURIA,9,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Breeze,Evil Geniuses,Cloud9,6,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Haven,Evil Geniuses,Cloud9,13,6
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Quarterfinals,Sunset,Evil Geniuses,Cloud9,13,11
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 1,Lotus,Cloud9,BESTIA,8,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 1,Breeze,Cloud9,BESTIA,10,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 1,Breeze,G2 Esports,M80,14,12
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 1,Sunset,G2 Esports,M80,13,7
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 1,Haven,Sentinels,2Game Esports,13,8
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 1,Split,Sentinels,2Game Esports,13,10
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 1,Lotus,KRÜ Esports,Fluxo W7M,13,8
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 1,Ascent,KRÜ Esports,Fluxo W7M,13,11
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Semifinals,Haven,Kiwoom DRX,Sharper Esports,13,2
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Semifinals,Ascent,Kiwoom DRX,Sharper Esports,14,16
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Semifinals,Sunset,Kiwoom DRX,Sharper Esports,13,9
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Semifinals,Ascent,T1,Nongshim RedForce,5,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Upper Semifinals,Haven,T1,Nongshim RedForce,10,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Ascent,Team Secret,ONSIDE GAMING,11,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Split,Team Secret,ONSIDE GAMING,10,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Summit,FULL SENSE,Rex Regum Qeon,4,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Sunset,FULL SENSE,Rex Regum Qeon,13,11
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Lotus,FULL SENSE,Rex Regum Qeon,13,7
